*/	WT1	WT2	WT3	KO1	KO2	KO3
ENSG00000040487	1180	1304	884	651	664	701
ENSG00000077549	6187	6037	4138	6986	5488	5585
ENSG00000240490	0	0	0	0	0	0
ENSG00000173436	104	82	55	65	127	52
ENSG00000201609	0	0	0	0	0	0
ENSG00000235185	0	0	0	0	0	0
ENSG00000158747	753	939	703	757	794	795
ENSG00000270136	0	0	0	0	0	0
ENSG00000226396	78	63	51	12	19	12
ENSG00000158748	0	0	0	2	0	1
ENSG00000162542	300	378	261	248	227	185
ENSG00000178828	9	5	1	0	0	0
ENSG00000235434	0	0	0	0	0	0
ENSG00000169914	652	814	541	629	1196	425
ENSG00000188784	99	89	62	46	118	39
ENSG00000242688	0	0	0	0	0	0
ENSG00000188257	41927	30750	18751	2011	3659	1464
ENSG00000127472	1	0	0	0	0	0
ENSG00000117215	0	0	0	0	0	0
ENSG00000158786	2	0	0	0	0	0
ENSG00000227066	1	2	1	0	1	0
ENSG00000187980	2	0	0	0	0	0
ENSG00000225986	9	13	2	2	3	4
ENSG00000162543	438	429	306	162	253	134
ENSG00000228105	0	0	0	0	0	0
ENSG00000284710	0	0	0	0	0	0
ENSG00000158816	0	0	0	0	0	0
ENSG00000226664	0	0	0	0	0	0
ENSG00000236963	1	0	1	1	0	0
ENSG00000226487	0	0	0	0	0	0
ENSG00000284641	0	0	0	0	0	0
ENSG00000284743	4	7	5	6	12	7
ENSG00000162545	5778	5762	4187	4588	3371	3468
ENSG00000090432	1170	1473	916	1265	995	1036
ENSG00000215520	0	0	0	0	0	0
ENSG00000183114	145	71	57	11	17	11
ENSG00000158825	304	143	92	8	0	8
ENSG00000158828	1851	1603	1132	508	351	472
ENSG00000284005	0	0	0	0	0	0
ENSG00000117242	456	427	342	602	610	494
ENSG00000244038	12742	14484	10191	17362	14084	14784
ENSG00000117245	32	30	20	7	9	10
ENSG00000235432	0	0	0	0	0	0
ENSG00000189410	256	239	127	50	40	49
ENSG00000233069	0	0	0	0	0	0
ENSG00000127483	6088	6262	4794	9230	9809	6636
ENSG00000075151	4195	3555	2573	2106	1615	1771
ENSG00000251914	0	0	0	0	0	0
ENSG00000221808	0	0	0	0	0	0
ENSG00000233072	0	2	0	0	0	0
ENSG00000236073	1	0	0	0	0	0
ENSG00000235112	0	0	0	0	0	0
ENSG00000287192	0	1	0	0	0	0
ENSG00000117298	4346	5356	3829	2919	2693	2555
ENSG00000236936	9	9	4	1	1	4
ENSG00000231105	3	2	0	1	0	0
ENSG00000236216	0	0	0	0	0	0
ENSG00000228823	0	0	0	0	0	0
ENSG00000236009	0	0	0	0	0	0
ENSG00000227001	5	10	6	10	11	15
ENSG00000187952	0	0	0	1	1	0
ENSG00000186543	0	0	0	0	0	0
ENSG00000142794	80	139	72	150	142	99
ENSG00000176378	0	0	0	0	0	0
ENSG00000162551	7	5	1	0	0	1
ENSG00000233431	0	0	0	0	0	0
ENSG00000076864	3145	3086	2051	1683	1694	1455
ENSG00000090686	3142	2780	1828	2390	2487	1868
ENSG00000231978	0	0	0	0	0	0
ENSG00000187942	0	6	1	0	0	0
ENSG00000142798	1781	2476	1773	3910	4150	4346
ENSG00000232037	0	0	0	0	0	0
ENSG00000283234	0	0	0	0	0	0
ENSG00000219073	8	2	2	0	0	0
ENSG00000285959	0	0	0	0	0	0
ENSG00000273610	0	0	0	0	0	0
ENSG00000201919	0	0	0	0	0	0
ENSG00000142789	0	0	0	0	0	0
ENSG00000278124	0	0	0	0	0	0
ENSG00000201273	0	0	0	0	0	0
ENSG00000228397	1	0	0	0	1	0
ENSG00000218510	110	110	88	111	203	72
ENSG00000070831	4225	4572	3259	4744	3790	3900
ENSG00000285752	0	0	1	0	0	0
ENSG00000285794	0	0	0	0	0	0
ENSG00000230068	1	1	3	0	0	0
ENSG00000271428	0	0	0	0	0	0
ENSG00000162552	0	0	0	0	0	0
ENSG00000285873	3	3	1	2	1	1
ENSG00000266564	0	0	0	0	0	0
ENSG00000234397	0	0	0	0	0	0
ENSG00000279625	0	0	0	0	0	0
ENSG00000184677	9882	7286	4882	3020	4849	2237
ENSG00000237200	11	9	4	4	6	3
ENSG00000070886	2	0	0	0	0	0
ENSG00000276835	0	0	0	0	0	0
ENSG00000173372	0	0	0	0	0	0
ENSG00000159189	0	0	0	0	0	0
ENSG00000173369	0	0	0	0	0	0
ENSG00000133216	2	2	3	0	1	0
ENSG00000265422	0	0	0	0	0	0
ENSG00000225952	0	0	0	0	0	0
ENSG00000264014	0	0	0	0	0	0
ENSG00000215906	0	0	2	33	22	21
ENSG00000227868	0	0	0	0	0	1
ENSG00000004487	4261	4683	3005	7753	6822	6372
ENSG00000240553	0	0	0	0	0	0
ENSG00000263793	0	0	0	0	0	0
ENSG00000266802	0	0	0	0	0	0
ENSG00000169641	911	1043	806	1358	1309	1203
ENSG00000229010	0	0	0	0	0	0
ENSG00000206935	0	0	0	0	0	0
ENSG00000252578	0	0	0	0	0	0
ENSG00000179546	25	21	19	2	1	1
ENSG00000215381	0	0	0	0	0	0
ENSG00000261326	442	435	285	115	259	56
ENSG00000284726	0	0	0	0	0	0
ENSG00000125944	4200	5019	3724	10345	8593	7979
ENSG00000125945	396	479	264	319	297	247
ENSG00000249087	36	63	41	67	150	45
ENSG00000201405	0	0	0	0	0	0
ENSG00000271420	46	50	26	29	30	19
ENSG00000204219	5044	5456	3503	6928	5067	5551
ENSG00000232482	0	0	0	0	0	0
ENSG00000088280	509	612	425	1151	981	1034
ENSG00000007968	70	89	75	609	755	487
ENSG00000235052	3	14	8	4	5	0
ENSG00000117318	1035	988	707	1037	1279	1157
ENSG00000285802	0	0	0	0	0	0
ENSG00000197880	0	0	0	0	0	0
ENSG00000229239	0	0	0	0	0	0
ENSG00000142676	82583	76381	49921	49690	36181	40799
ENSG00000236810	144	198	117	87	120	81
ENSG00000011007	2828	3094	2151	2759	2507	2171
ENSG00000057757	1484	1467	919	1081	938	825
ENSG00000011009	3344	3620	2722	2843	2843	2653
ENSG00000117308	2458	2107	1642	2884	2541	2322
ENSG00000117305	1060	1136	787	811	570	650
ENSG00000179163	1111	1179	801	941	677	749
ENSG00000188822	1	0	2	0	0	0
ENSG00000229106	0	0	0	0	0	0
ENSG00000232557	0	0	0	0	0	0
ENSG00000264926	0	0	0	0	0	0
ENSG00000230228	0	0	0	0	0	0
ENSG00000189266	3304	4189	2884	5305	4256	3545
ENSG00000188529	3561	3961	3171	4778	6255	3259
ENSG00000215905	0	0	0	0	0	0
ENSG00000225315	6	11	5	7	6	5
ENSG00000142661	824	873	635	1113	1220	965
ENSG00000230703	0	0	0	0	0	0
ENSG00000142677	736	681	474	426	401	347
ENSG00000185436	333	288	190	275	254	242
ENSG00000230023	0	0	0	0	1	0
ENSG00000232298	0	0	0	0	0	0
ENSG00000158055	0	0	2	0	0	0
ENSG00000001460	236	382	279	257	187	211
ENSG00000001461	734	835	629	485	421	417
ENSG00000286061	2	9	3	1	8	4
ENSG00000117602	703	989	774	690	571	483
ENSG00000264443	9	23	11	8	21	3
ENSG00000184454	471	441	304	406	367	349
ENSG00000227312	0	0	0	0	0	0
ENSG00000239106	0	0	0	0	0	0
ENSG00000133226	4590	3804	2760	3530	3767	2474
ENSG00000284699	0	0	0	0	0	0
ENSG00000169504	3467	3898	3480	6613	4924	4400
ENSG00000238482	0	0	0	0	0	0
ENSG00000020633	1	0	0	10	4	4
ENSG00000278034	0	0	0	0	0	0
ENSG00000229162	0	0	0	0	0	0
ENSG00000261025	0	0	0	0	0	0
ENSG00000264371	0	0	0	0	0	0
ENSG00000285823	0	0	0	0	0	0
ENSG00000233755	0	0	0	0	1	0
ENSG00000233419	32	16	22	27	45	14
ENSG00000231953	0	0	0	0	0	0
ENSG00000117614	2930	2648	1613	1449	904	1134
ENSG00000284602	7	10	9	4	9	8
ENSG00000284657	3	1	0	5	5	1
ENSG00000117616	2118	1854	1443	973	1590	627
ENSG00000272432	2	2	3	2	0	3
ENSG00000261349	5	1	3	4	7	3
ENSG00000187010	0	1	0	0	0	0
ENSG00000224183	0	0	1	0	0	0
ENSG00000259984	2	1	0	2	0	2
ENSG00000183726	2962	3069	2188	1900	1522	1581
ENSG00000188672	4	4	3	9	2	2
ENSG00000238084	1	0	0	0	0	0
ENSG00000204178	3583	3175	2232	1982	1100	1431
ENSG00000157978	727	985	634	552	611	455
ENSG00000225643	5	3	2	2	0	0
ENSG00000117643	3	5	2	4	1	0
ENSG00000233478	0	0	0	0	0	0
ENSG00000162430	581	864	594	888	999	724
ENSG00000255054	0	0	0	0	0	0
ENSG00000228172	2	5	3	12	7	12
ENSG00000117640	1750	1479	1079	945	830	719
ENSG00000272478	0	0	0	0	0	0
ENSG00000127423	149	194	134	533	430	400
ENSG00000236528	8	4	4	6	9	8
ENSG00000182749	326	435	303	647	488	542
ENSG00000207302	0	0	0	0	0	0
ENSG00000117632	2187	2640	1834	10819	9332	8518
ENSG00000229786	0	0	0	0	0	0
ENSG00000223624	0	0	0	0	0	0
ENSG00000283938	0	0	0	0	0	0
ENSG00000158006	477	560	357	683	675	551
ENSG00000207237	0	0	0	0	0	0
ENSG00000252190	0	0	0	0	0	0
ENSG00000252691	0	0	0	0	0	0
ENSG00000158008	0	0	0	3	2	2
ENSG00000158014	0	0	0	1	0	0
ENSG00000284309	0	0	0	0	0	0
ENSG00000158022	0	0	0	0	0	0
ENSG00000175087	197	298	219	266	218	153
ENSG00000197245	4	3	2	0	0	0
ENSG00000282872	0	0	0	0	0	0
ENSG00000236782	0	7	2	1	1	0
ENSG00000142684	1391	1808	1177	523	600	615
ENSG00000142675	1266	1288	806	357	496	265
ENSG00000188782	1	0	0	0	0	0
ENSG00000236155	334	294	228	155	139	115
ENSG00000278572	0	0	0	0	0	0
ENSG00000130695	987	1033	672	1984	2314	1706
ENSG00000270733	0	0	0	0	0	0
ENSG00000142669	2119	2090	1372	599	733	503
ENSG00000158062	530	765	434	969	1667	907
ENSG00000169442	0	0	0	2	2	0
ENSG00000176092	64	61	46	34	30	28
ENSG00000225854	0	0	0	0	0	0
ENSG00000176083	0	0	0	0	0	0
ENSG00000131914	0	0	0	0	0	0
ENSG00000117682	2632	2221	1321	769	916	650
ENSG00000223583	0	0	0	0	1	0
ENSG00000225891	0	2	5	4	6	1
ENSG00000198830	1135	1739	1253	5314	5821	4722
ENSG00000224129	0	0	0	0	0	0
ENSG00000117676	2514	2412	1583	1670	1553	1290
ENSG00000238705	0	0	0	0	0	0
ENSG00000243905	0	0	0	0	0	0
ENSG00000252802	0	0	0	0	0	0
ENSG00000252429	0	0	0	0	0	0
ENSG00000229247	0	0	0	0	0	0
ENSG00000238316	0	0	0	0	0	0
ENSG00000235069	0	0	0	0	0	0
ENSG00000260063	1	6	5	4	6	5
ENSG00000117713	2592	3370	2360	4272	3406	3621
ENSG00000060642	757	893	555	593	474	481
ENSG00000241188	0	0	0	0	1	0
ENSG00000287810	0	0	0	0	0	0
ENSG00000204160	2224	2027	1484	1254	1092	1121
ENSG00000175793	2717	3113	2048	1441	1201	1174
ENSG00000142751	1708	1547	1137	833	838	691
ENSG00000226698	0	2	0	0	0	0
ENSG00000198746	1003	1145	805	671	595	590
ENSG00000090273	9896	9277	5843	8127	7964	7001
ENSG00000131910	3183	3006	2163	1026	823	977
ENSG00000175707	436	570	468	116	122	101
ENSG00000172746	0	1	2	0	0	0
ENSG00000224064	0	0	0	0	0	0
ENSG00000225294	0	0	0	0	0	0
ENSG00000253368	2695	2579	1840	1407	1135	1186
ENSG00000158246	24	32	12	11	14	21
ENSG00000090020	926	960	662	621	500	493
ENSG00000229985	0	0	0	0	0	0
ENSG00000214973	0	0	0	0	0	0
ENSG00000225159	4	5	2	10	5	8
ENSG00000225990	0	0	0	0	0	0
ENSG00000224311	0	0	0	0	0	0
ENSG00000142784	1390	1699	1139	787	666	733
ENSG00000252098	0	0	0	0	0	0
ENSG00000243659	1	2	0	0	0	0
ENSG00000186501	1596	1934	1375	1520	1269	1222
ENSG00000206888	0	0	0	2	0	0
ENSG00000241547	4	6	8	15	12	7
ENSG00000142765	868	959	662	339	590	362
ENSG00000142733	133	141	87	95	143	77
ENSG00000142748	0	0	0	0	0	0
ENSG00000174950	0	1	0	0	0	0
ENSG00000231207	0	0	0	0	0	0
ENSG00000181773	49	77	43	112	90	100
ENSG00000158195	3590	3816	2684	4662	3348	3890
ENSG00000241169	0	0	0	0	0	0
ENSG00000237429	3	3	1	3	7	2
ENSG00000126705	430	641	516	418	514	598
ENSG00000000938	1	0	0	0	0	0
ENSG00000235912	3	2	1	1	1	1
ENSG00000233975	0	0	0	0	0	0
ENSG00000126709	56	27	21	8	3	7
ENSG00000225886	0	0	0	0	0	0
ENSG00000206767	0	0	0	0	0	0
ENSG00000226662	0	0	0	0	0	0
ENSG00000207095	0	0	0	0	0	0
ENSG00000287244	3	0	0	0	0	0
ENSG00000009780	266	319	239	273	230	187
ENSG00000231344	1	4	1	3	0	1
ENSG00000230833	0	0	0	0	0	2
ENSG00000117758	730	761	475	600	535	392
ENSG00000269971	4	4	2	0	9	0
ENSG00000270031	0	0	1	0	1	0
ENSG00000223062	0	0	0	0	0	0
ENSG00000286433	1	0	1	0	3	1
ENSG00000117751	2169	2750	1823	2538	2030	2112
ENSG00000252947	0	1	0	1	1	1
ENSG00000130775	5	10	5	9	5	6
ENSG00000117748	803	789	545	1149	1098	873
ENSG00000130768	46	43	28	14	5	12
ENSG00000227050	0	1	0	0	0	0
ENSG00000158156	359	379	292	238	199	218
ENSG00000158161	724	771	552	1022	931	806
ENSG00000238231	3	0	0	0	3	0
ENSG00000240750	0	0	0	0	1	0
ENSG00000228589	7	6	2	6	13	6
ENSG00000228943	0	0	0	0	0	0
ENSG00000214812	0	0	0	0	0	0
ENSG00000253005	0	0	0	0	0	0
ENSG00000169403	86	160	85	10	14	10
ENSG00000126698	4716	4221	2748	4650	3964	3657
ENSG00000130770	2057	2154	1391	2037	2208	1911
ENSG00000270605	245	301	199	105	139	62
ENSG00000271398	0	0	0	0	0	1
ENSG00000130766	2164	2460	1717	2596	1510	2261
ENSG00000130772	675	832	580	284	260	238
ENSG00000204138	2175	2615	2011	2864	1988	2260
ENSG00000206779	0	0	0	0	0	0
ENSG00000229820	0	1	1	0	0	0
ENSG00000221216	0	0	1	1	0	0
ENSG00000180198	7170	6790	4917	7681	6777	6331
ENSG00000242125	2981	3139	2082	3244	5061	2283
ENSG00000274266	0	0	0	0	0	0
ENSG00000200087	68	98	69	89	148	61
ENSG00000231468	0	0	0	0	0	0
ENSG00000279443	27	13	2	4	0	0
ENSG00000180098	752	772	501	497	467	372
ENSG00000197989	1364	1419	999	827	1829	729
ENSG00000221539	20	27	16	16	53	12
ENSG00000278274	0	0	0	0	0	0
ENSG00000273544	0	0	0	0	0	0
ENSG00000280498	0	0	0	0	0	0
ENSG00000274582	0	0	0	0	0	0
ENSG00000120656	1065	1065	795	658	477	456
ENSG00000188060	847	755	568	1098	1000	895
ENSG00000229388	5	6	2	0	0	0
ENSG00000270103	0	0	0	0	0	0
ENSG00000274978	0	0	0	0	0	0
ENSG00000162419	439	547	369	263	229	229
ENSG00000252777	0	1	0	0	0	0
ENSG00000198492	5591	7370	5327	3336	2889	2537
ENSG00000116329	1	1	0	6	1	2
ENSG00000233427	2	0	0	1	2	0
ENSG00000199756	0	0	0	0	0	0
ENSG00000159023	2826	2498	1690	3632	3005	2941
ENSG00000225616	1	2	1	1	1	1
ENSG00000206704	0	0	0	0	0	0
ENSG00000277958	0	0	0	0	0	0
ENSG00000253304	36	36	27	27	15	20
ENSG00000225750	0	0	0	0	0	0
ENSG00000116350	5772	5749	3871	3874	3334	2916
ENSG00000277916	0	0	0	0	0	0
ENSG00000116353	536	690	482	623	662	571
ENSG00000237934	0	0	0	0	0	0
ENSG00000060656	2641	3908	2778	3205	2927	3299
ENSG00000230523	0	0	0	0	0	0
ENSG00000225011	0	0	0	0	0	0
ENSG00000228176	0	0	0	0	0	0
ENSG00000284676	0	0	0	0	0	0
ENSG00000270927	0	0	0	0	0	0
ENSG00000233399	0	0	0	0	0	0
ENSG00000233372	0	0	0	0	0	0
ENSG00000231251	0	0	0	0	0	0
ENSG00000236335	0	0	0	0	0	0
ENSG00000231949	0	0	0	0	0	0
ENSG00000162510	3	4	5	1	3	2
ENSG00000186056	7	9	3	2	0	3
ENSG00000287510	0	0	1	0	0	0
ENSG00000162511	31	50	30	0	2	2
ENSG00000264773	0	0	0	0	0	0
ENSG00000229607	0	0	0	0	0	0
ENSG00000223382	0	0	1	0	0	0
ENSG00000222784	0	0	0	0	0	0
ENSG00000235143	0	0	0	0	0	0
ENSG00000162512	18	44	30	9	6	18
ENSG00000266210	0	0	0	0	0	0
ENSG00000134644	2957	3457	2695	4616	3584	3359
ENSG00000237329	0	0	0	0	0	0
ENSG00000232768	0	0	0	0	0	0
ENSG00000215900	0	0	0	0	0	0
ENSG00000225142	0	0	0	0	0	0
ENSG00000084628	10	18	15	18	15	17
ENSG00000060688	1278	1602	966	2706	2150	2165
ENSG00000229447	5	14	2	0	2	1
ENSG00000121766	1118	1070	731	1216	1189	1018
ENSG00000229044	0	2	0	0	0	0
ENSG00000121769	1	1	0	2	0	0
ENSG00000168528	2028	1915	1457	271	261	209
ENSG00000215899	0	0	0	0	0	0
ENSG00000206981	0	0	0	0	0	0
ENSG00000260386	0	0	2	0	0	0
ENSG00000265961	0	0	0	0	0	0
ENSG00000284543	10	4	1	4	1	2
ENSG00000229167	71	48	39	10	13	7
ENSG00000142910	1723	1700	1176	252	297	227
ENSG00000121764	0	0	0	0	0	0
ENSG00000162517	2296	2559	1631	1928	1562	1510
ENSG00000235790	1	3	7	0	5	3
ENSG00000264078	0	0	1	0	0	0
ENSG00000084636	5121	4216	2815	680	1401	737
ENSG00000121753	0	0	4	1	0	2
ENSG00000266580	0	0	0	0	0	0
ENSG00000254545	0	0	0	0	0	0
ENSG00000134668	2	3	0	0	0	1
ENSG00000203620	0	0	0	0	0	0
ENSG00000269967	1	2	0	0	0	1
ENSG00000184007	7591	7649	5702	5530	3824	4167
ENSG00000228634	0	0	0	0	0	0
ENSG00000284702	0	0	0	0	0	0
ENSG00000121774	4333	5203	3873	6981	5392	5610
ENSG00000203325	0	0	0	0	0	0
ENSG00000121775	294	410	269	294	279	298
ENSG00000266203	0	0	0	0	0	0
ENSG00000276493	0	0	0	0	0	0
ENSG00000025800	1889	2398	1780	2159	2045	1734
ENSG00000250135	0	0	0	0	0	1
ENSG00000084652	4993	5350	3776	5111	4802	4333
ENSG00000160050	28	38	17	45	36	30
ENSG00000224066	26	44	23	7	13	10
ENSG00000160051	59	98	52	127	180	148
ENSG00000222046	0	0	0	0	0	0
ENSG00000160055	193	262	186	146	187	119
ENSG00000084623	9077	9119	6270	8355	7415	6760
ENSG00000220785	104	90	52	45	40	22
ENSG00000183615	7	3	3	1	0	0
ENSG00000182866	40	37	20	4	1	3
ENSG00000277617	0	0	0	0	0	0
ENSG00000252450	0	0	0	0	0	0
ENSG00000116478	4225	4078	2892	5838	4875	4561
ENSG00000175130	5755	7413	5208	9387	7797	8258
ENSG00000233775	4	9	7	4	8	9
ENSG00000162526	5	6	0	5	12	4
ENSG00000225828	1444	1248	725	349	760	276
ENSG00000160058	4187	4104	2977	2550	2790	1971
ENSG00000224333	0	0	0	0	0	0
ENSG00000270850	0	0	0	0	0	0
ENSG00000229259	0	0	0	0	0	0
ENSG00000263529	0	0	0	0	0	0
ENSG00000254553	0	0	0	0	0	0
ENSG00000273274	0	0	0	0	0	0
ENSG00000160062	120	192	122	78	57	45
ENSG00000176261	1377	1202	816	955	1134	922
ENSG00000200591	0	0	0	0	0	0
ENSG00000162521	8303	7359	5245	10362	8990	7819
ENSG00000162520	461	553	408	223	144	186
ENSG00000224409	0	0	0	0	0	0
ENSG00000162522	5083	5372	3822	1996	1918	1782
ENSG00000134684	8780	9278	6174	10730	8370	8301
ENSG00000116497	576	701	497	774	789	588
ENSG00000160097	13	31	13	22	19	12
ENSG00000121905	0	0	0	0	0	0
ENSG00000121900	19	29	23	12	10	6
ENSG00000287691	0	0	0	0	0	0
ENSG00000116514	815	1014	674	741	504	641
ENSG00000278966	0	0	0	0	0	0
ENSG00000217644	0	0	0	0	0	0
ENSG00000239670	0	0	0	0	0	0
ENSG00000236065	0	0	0	0	0	0
ENSG00000004455	6230	5828	4155	7912	7970	6240
ENSG00000276645	0	1	0	0	0	0
ENSG00000142920	100	119	89	136	106	99
ENSG00000278997	12	12	16	3	4	2
ENSG00000116525	169	288	222	108	102	93
ENSG00000279179	1	0	2	0	7	3
ENSG00000284721	0	0	0	0	0	0
ENSG00000160094	425	619	443	843	642	751
ENSG00000270115	0	0	0	2	3	0
ENSG00000184389	0	0	0	0	0	0
ENSG00000225313	1	1	0	2	0	0
ENSG00000134686	6091	5982	4090	5016	3370	4087
ENSG00000284154	9	7	1	3	1	3
ENSG00000222112	1	3	1	4	8	2
ENSG00000233246	1	1	4	1	2	2
ENSG00000234512	0	0	0	0	0	0
ENSG00000121903	161	171	130	182	190	138
ENSG00000235907	0	0	0	0	0	0
ENSG00000121904	1	0	0	0	0	0
ENSG00000227000	0	0	0	0	0	0
ENSG00000176256	0	0	0	0	0	0
ENSG00000231163	0	0	0	0	0	0
ENSG00000201148	0	0	0	0	0	0
ENSG00000142698	0	0	0	0	0	0
ENSG00000270241	0	0	0	0	0	0
ENSG00000287703	0	0	0	0	0	0
ENSG00000207941	0	0	0	0	0	0
ENSG00000163866	918	1026	631	1030	873	832
ENSG00000189280	0	0	0	0	0	0
ENSG00000189433	0	0	0	0	0	0
ENSG00000255811	0	0	0	0	0	0
ENSG00000188910	0	2	0	0	0	0
ENSG00000187513	0	0	0	0	0	0
ENSG00000230163	0	1	0	0	0	0
ENSG00000116544	6	6	5	16	2	4
ENSG00000284773	15	6	2	1	4	3
ENSG00000241014	3	1	2	2	8	3
ENSG00000271741	0	0	0	0	0	0
ENSG00000243749	0	0	0	0	0	0
ENSG00000163867	350	326	294	172	193	101
ENSG00000197056	266	340	232	337	337	190
ENSG00000233940	0	0	0	0	0	0
ENSG00000228348	0	0	0	0	0	0
ENSG00000284640	1	0	1	0	0	0
ENSG00000116560	12146	13172	9008	10340	11227	8069
ENSG00000201868	0	0	0	0	0	0
ENSG00000146463	1784	2117	1452	2464	1911	1940
ENSG00000240374	0	0	0	0	0	0
ENSG00000201542	0	0	0	0	0	0
ENSG00000229994	6	6	1	1	6	7
ENSG00000227409	0	0	0	0	0	0
ENSG00000278702	0	0	0	0	0	0
ENSG00000142687	3956	3855	2672	2647	2280	2269
ENSG00000236274	0	0	0	0	0	0
ENSG00000020129	1122	1054	754	702	707	676
ENSG00000239636	3	8	3	2	0	3
ENSG00000116819	70	96	65	39	38	34
ENSG00000126067	3892	4276	2930	5735	5213	4523
ENSG00000142686	48	83	52	147	216	126
ENSG00000092853	190	292	239	1397	1507	1143
ENSG00000232335	0	0	0	0	1	1
ENSG00000134698	843	795	646	513	407	374
ENSG00000092847	1179	1353	998	1841	1821	1550
ENSG00000271164	0	0	0	0	0	0
ENSG00000286899	0	0	0	0	0	0
ENSG00000271914	5	3	3	0	0	0
ENSG00000126070	957	969	707	619	581	425
ENSG00000271554	0	0	0	0	0	0
ENSG00000232862	0	0	0	0	0	0
ENSG00000092850	4	11	3	2	3	1
ENSG00000116863	1801	1939	1275	991	961	835
ENSG00000171812	9	4	3	3	1	1
ENSG00000054116	2386	2485	1687	1710	1505	1452
ENSG00000116871	916	932	699	480	458	582
ENSG00000264592	0	0	0	0	0	0
ENSG00000054118	6366	6675	4810	6168	5219	5126
ENSG00000231849	0	0	0	0	0	0
ENSG00000214193	1090	1193	810	587	1149	520
ENSG00000142694	32	27	28	19	20	44
ENSG00000286379	16	12	5	2	9	3
ENSG00000196182	3766	4106	3013	4858	3806	4414
ENSG00000181817	1449	1745	1137	773	841	737
ENSG00000222821	0	0	0	0	0	0
ENSG00000116885	7	10	5	12	14	24
ENSG00000201448	0	0	0	0	0	0
ENSG00000116898	3473	3367	2033	3318	2612	3028
ENSG00000119535	407	409	284	199	179	202
ENSG00000230214	0	0	0	0	0	0
ENSG00000284705	0	0	0	0	0	0
ENSG00000284720	0	0	0	0	0	0
ENSG00000234481	0	0	0	0	0	0
ENSG00000163873	0	0	0	0	0	0
ENSG00000284650	0	0	0	0	0	0
ENSG00000223944	0	0	0	0	0	0
ENSG00000264698	0	0	0	0	0	0
ENSG00000207328	0	0	0	0	0	0
ENSG00000252368	0	0	0	0	0	0
ENSG00000230451	0	0	0	0	0	0
ENSG00000233621	50	57	33	14	18	21
ENSG00000163874	575	700	513	341	396	378
ENSG00000283724	0	0	0	0	0	0
ENSG00000163875	2020	2367	1694	1619	1177	1192
ENSG00000263675	0	1	3	3	3	2
ENSG00000163877	636	688	548	577	437	406
ENSG00000232273	0	0	0	0	0	0
ENSG00000237749	1	0	0	2	0	1
ENSG00000163879	18	30	30	16	19	13
ENSG00000134697	5519	5331	3390	3655	2900	2891
ENSG00000284748	0	0	0	0	0	0
ENSG00000169218	1	1	1	0	0	0
ENSG00000116922	494	560	353	903	982	767
ENSG00000134690	383	693	475	2700	2539	2070
ENSG00000183317	13	13	10	19	14	11
ENSG00000200421	0	0	0	0	0	0
ENSG00000214141	0	0	0	0	0	0
ENSG00000227416	0	0	0	0	0	0
ENSG00000185090	877	1166	801	1371	1197	1305
ENSG00000233728	0	0	1	0	0	0
ENSG00000196449	1035	1129	792	1079	964	907
ENSG00000197982	569	513	352	372	391	416
ENSG00000188786	608	630	408	598	635	535
ENSG00000235673	0	0	0	0	1	0
ENSG00000230955	2	1	1	2	4	0
ENSG00000204084	364	378	235	474	478	399
ENSG00000252448	0	0	0	0	0	0
ENSG00000222282	0	0	0	0	0	0
ENSG00000277168	0	0	0	0	0	0
ENSG00000183431	4991	4840	3111	6386	5284	5076
ENSG00000212541	0	0	0	1	1	0
ENSG00000183386	1110	1183	787	376	283	265
ENSG00000183520	1579	1437	978	1501	1082	1184
ENSG00000185668	1	4	2	0	0	5
ENSG00000224592	6	18	16	13	9	9
ENSG00000223589	0	0	0	0	0	0
ENSG00000265596	0	0	0	0	0	0
ENSG00000284623	0	0	0	0	0	0
ENSG00000286552	0	0	0	0	0	0
ENSG00000287987	0	0	0	0	0	0
ENSG00000237290	0	0	0	0	0	0
ENSG00000275350	0	0	0	0	0	0
ENSG00000200796	0	0	0	0	0	0
ENSG00000238063	0	0	0	0	0	0
ENSG00000215895	2	1	1	1	2	0
ENSG00000284632	0	0	0	0	0	0
ENSG00000116954	719	804	520	303	238	233
ENSG00000273637	0	0	0	0	0	0
ENSG00000228436	53	50	43	25	24	8
ENSG00000214114	233	217	179	585	651	480
ENSG00000274944	0	0	0	0	3	0
ENSG00000131233	0	0	0	0	0	0
ENSG00000158315	13	12	5	264	169	200
ENSG00000199963	0	0	0	0	0	0
ENSG00000207466	0	0	0	0	0	0
ENSG00000235549	0	0	0	0	0	0
ENSG00000174574	2881	3230	2378	8602	5329	6546
ENSG00000168653	2793	2528	1806	4635	3965	3991
ENSG00000127603	6621	6729	4892	7407	5469	6153
ENSG00000206654	0	0	0	0	0	0
ENSG00000222378	0	0	0	0	0	0
ENSG00000287422	0	0	0	0	0	0
ENSG00000226438	0	0	0	0	0	0
ENSG00000217897	0	0	0	1	0	0
ENSG00000183682	3	5	0	2	0	2
ENSG00000237624	0	0	1	1	2	0
ENSG00000243970	56	46	31	18	46	22
ENSG00000090621	7369	6865	4755	7444	8596	6137
ENSG00000228060	0	2	0	0	0	0
ENSG00000201457	4	6	5	4	20	4
ENSG00000163909	6	4	2	2	2	3
ENSG00000225903	0	0	0	0	0	0
ENSG00000116981	0	0	0	0	0	0
